,City,RegionName,State,PTR_6_months,10Year,5Year,YOY,three_bed_buy_2016,three_bed_buy_2017,three_bed_rent_2016,three_bed_rent_2017,rent_change,buy_change
748,Sunrise,33322,FL,8.666666666666666,-0.0158249545723426,0.15480562782489002,0.122492836676218,253300.0,272000.0,1979.0,1950.0,-0.014653865588681153,0.0738255033557047
52,Chicago,60619,IL,8.668333333333335,-0.0184037532421566,0.0311686040393175,0.0956325301204819,135600.0,147400.0,1150.0,1150.0,0.0,0.08702064896755163
19,Riverdale,30349,GA,8.686666666666667,-0.0190170124404383,0.12715205135812,0.154929577464789,81100.0,91600.0,975.0,1050.0,0.07692307692307693,0.12946979038224415
176,Chicago,60626,IL,8.698333333333332,-0.0369087518673078,0.0554875086087097,-0.0033311125916056,239800.0,242400.0,1850.0,1850.0,0.0,0.010842368640533779
241,Margate,33063,FL,8.74,-0.0265949488488684,0.168332690732142,0.109570041608877,241200.0,262200.0,1977.5,1900.0,-0.039190897597977246,0.08706467661691543
746,Candler-Mcafee,30032,GA,8.775,-0.0140515701153611,0.15730379923874202,0.249427917620137,87800.0,108800.0,900.0,1050.0,0.16666666666666666,0.23917995444191345
342,Columbia,29223,SC,8.801666666666664,-0.0059689396077679,0.0326113500531628,0.020997375328083996,104300.0,108100.0,1075.0,1075.0,0.0,0.0364333652924257
216,Atlanta,30331,GA,8.876666666666667,-0.0241480493559945,0.109069937180841,0.124561403508772,76800.0,86900.0,1030.0,1209.0,0.17378640776699028,0.13151041666666666
1783,Hinesville,31313,GA,8.878333333333332,-0.00289709768914337,0.006921075921169971,0.0181653042688465,109000.0,111200.0,950.0,1000.0,0.05263157894736842,0.02018348623853211
466,Lithonia,30058,GA,8.89,-0.0160393001899365,0.134287039533063,0.10249042145593901,101900.0,112400.0,1000.0,1095.0,0.095,0.10304219823356231
709,Fort Worth,76133,TX,8.955,0.0303684745872086,0.0947348500787646,0.10541945063103199,132600.0,146400.0,1295.0,1350.0,0.04247104247104247,0.10407239819004525
3014,Chicago,60624,IL,8.981666666666667,-0.0158229461501787,0.0648335810665743,0.0954038997214485,159600.0,173900.0,1250.0,1250.0,0.0,0.08959899749373433
1501,Memphis,38134,TN,9.031666666666666,-0.0029452502693559897,0.0498782501678665,0.0938053097345133,107200.0,119100.0,995.0,1095.0,0.10050251256281408,0.11100746268656717
677,Greensboro,27405,NC,9.1,0.00345084519356953,0.0328450012255244,0.11176470588235302,90400.0,97300.0,889.0,875.0,-0.015748031496062992,0.07632743362831858
5,Houston,77084,TX,9.121666666666668,0.0204562655020915,0.078339088614104,0.0121561100447857,143200.0,143300.0,1449.5,1400.0,-0.0341497067954467,0.0006983240223463687
1045,North Lauderdale,33068,FL,9.136666666666667,-0.0253287109198062,0.15877852831518802,0.134652201659221,174800.0,200000.0,1550.0,1600.0,0.03225806451612903,0.14416475972540047
311,Tamarac,33321,FL,9.143333333333334,-0.0203525026177656,0.152838156478466,0.11617458279846002,213900.0,235000.0,1895.0,1800.0,-0.05013192612137203,0.0986442262739598
853,Killeen,76549,TX,9.148333333333332,-0.0109754911992384,0.005749637187950189,0.0138632162661738,84700.0,87700.0,825.0,875.0,0.06060606060606061,0.03541912632821724
