date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:26	184/184	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Apr%202017%2018:09:26%20GMT	https://learnpythonthehardway.org/python3	./website/learnpythonthehardway.org/python3.0.delayed	(from )
14:09:28	21307/21307	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/	./website/learnpythonthehardway.org/python3/index.html	(from )
14:09:29	230/230	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Apr%202017%2018:09:28%20GMT	http://www.google-analytics.com/	./website/www.google-analytics.com/index.html	(from https://learnpythonthehardway.org/python3/)
14:09:29	251/251	---M--	302	error ('Found')	text/html	date:Sat,%2022%20Apr%202017%2018:09:28%20GMT	http://ajax.googleapis.com/	./website/ajax.googleapis.com/index.html	(from https://learnpythonthehardway.org/python3/)
14:09:29	1970/1970	---MC-	200	added ('OK')	text/css	date:Sat,%2022%20Apr%202017%2018:09:28%20GMT	https://fonts.googleapis.com/css?family=Source+Code+Pro|Source+Sans+Pro:200,400,700,200italic,400italic,700italic	./website/fonts.googleapis.com/css33ad.css	(from https://learnpythonthehardway.org/python3/)
14:09:29	192671/192671	---M--	200	added ('OK')	text/css	etag:%2258a75344-2f09f%22	https://learnpythonthehardway.org/css/style.min.css	./website/learnpythonthehardway.org/css/style.min.css	(from https://learnpythonthehardway.org/python3/)
14:09:30	8744/8744	---M--	200	added ('OK')	text/css	etag:%2258a75369-2228%22	https://learnpythonthehardway.org/css/icons.css	./website/learnpythonthehardway.org/css/icons.css	(from https://learnpythonthehardway.org/python3/)
14:09:31	4777/4777	---M--	200	added ('OK')	image/svg+xml	etag:%2258a75344-12a9%22	https://learnpythonthehardway.org/images/pattern-python.svg	./website/learnpythonthehardway.org/images/pattern-python.svg	(from https://learnpythonthehardway.org/python3/)
14:09:32	4920/4920	---M--	200	added ('OK')	image/svg+xml	etag:%2258a75344-1338%22	https://learnpythonthehardway.org/images/logo-python.svg	./website/learnpythonthehardway.org/images/logo-python.svg	(from https://learnpythonthehardway.org/python3/)
14:09:34	18274/18274	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/preface.html	./website/learnpythonthehardway.org/python3/preface.html	(from https://learnpythonthehardway.org/python3/)
14:09:35	23224/23224	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/intro.html	./website/learnpythonthehardway.org/python3/intro.html	(from https://learnpythonthehardway.org/python3/)
14:09:36	31449/31449	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex0.html	./website/learnpythonthehardway.org/python3/ex0.html	(from https://learnpythonthehardway.org/python3/)
14:09:37	23373/23373	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex1.html	./website/learnpythonthehardway.org/python3/ex1.html	(from https://learnpythonthehardway.org/python3/)
14:09:38	19602/19602	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex2.html	./website/learnpythonthehardway.org/python3/ex2.html	(from https://learnpythonthehardway.org/python3/)
14:09:39	24619/24619	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex3.html	./website/learnpythonthehardway.org/python3/ex3.html	(from https://learnpythonthehardway.org/python3/)
14:09:40	23237/23237	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex4.html	./website/learnpythonthehardway.org/python3/ex4.html	(from https://learnpythonthehardway.org/python3/)
14:09:41	21628/21628	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex5.html	./website/learnpythonthehardway.org/python3/ex5.html	(from https://learnpythonthehardway.org/python3/)
14:09:42	22844/22844	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex6.html	./website/learnpythonthehardway.org/python3/ex6.html	(from https://learnpythonthehardway.org/python3/)
14:09:43	22101/22101	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex7.html	./website/learnpythonthehardway.org/python3/ex7.html	(from https://learnpythonthehardway.org/python3/)
14:09:44	21037/21037	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex8.html	./website/learnpythonthehardway.org/python3/ex8.html	(from https://learnpythonthehardway.org/python3/)
14:09:45	19911/19911	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex9.html	./website/learnpythonthehardway.org/python3/ex9.html	(from https://learnpythonthehardway.org/python3/)
14:09:46	23978/23978	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex10.html	./website/learnpythonthehardway.org/python3/ex10.html	(from https://learnpythonthehardway.org/python3/)
14:09:47	19529/19529	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex11.html	./website/learnpythonthehardway.org/python3/ex11.html	(from https://learnpythonthehardway.org/python3/)
14:09:48	20141/20141	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex12.html	./website/learnpythonthehardway.org/python3/ex12.html	(from https://learnpythonthehardway.org/python3/)
14:09:49	25678/25678	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex13.html	./website/learnpythonthehardway.org/python3/ex13.html	(from https://learnpythonthehardway.org/python3/)
14:09:50	22847/22847	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex14.html	./website/learnpythonthehardway.org/python3/ex14.html	(from https://learnpythonthehardway.org/python3/)
14:09:51	25280/25280	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex15.html	./website/learnpythonthehardway.org/python3/ex15.html	(from https://learnpythonthehardway.org/python3/)
14:09:52	26694/26694	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex16.html	./website/learnpythonthehardway.org/python3/ex16.html	(from https://learnpythonthehardway.org/python3/)
14:09:53	24004/24004	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex17.html	./website/learnpythonthehardway.org/python3/ex17.html	(from https://learnpythonthehardway.org/python3/)
14:09:54	25090/25090	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex18.html	./website/learnpythonthehardway.org/python3/ex18.html	(from https://learnpythonthehardway.org/python3/)
14:09:55	24819/24819	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex19.html	./website/learnpythonthehardway.org/python3/ex19.html	(from https://learnpythonthehardway.org/python3/)
14:09:56	25147/25147	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex20.html	./website/learnpythonthehardway.org/python3/ex20.html	(from https://learnpythonthehardway.org/python3/)
14:09:57	25927/25927	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex21.html	./website/learnpythonthehardway.org/python3/ex21.html	(from https://learnpythonthehardway.org/python3/)
14:09:58	16828/16828	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex22.html	./website/learnpythonthehardway.org/python3/ex22.html	(from https://learnpythonthehardway.org/python3/)
14:09:59	44300/44300	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex23.html	./website/learnpythonthehardway.org/python3/ex23.html	(from https://learnpythonthehardway.org/python3/)
14:10:00	25163/25163	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex24.html	./website/learnpythonthehardway.org/python3/ex24.html	(from https://learnpythonthehardway.org/python3/)
14:10:01	35257/35257	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex25.html	./website/learnpythonthehardway.org/python3/ex25.html	(from https://learnpythonthehardway.org/python3/)
14:10:02	17445/17445	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex26.html	./website/learnpythonthehardway.org/python3/ex26.html	(from https://learnpythonthehardway.org/python3/)
14:10:03	21692/21692	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex27.html	./website/learnpythonthehardway.org/python3/ex27.html	(from https://learnpythonthehardway.org/python3/)
14:10:04	24137/24137	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex28.html	./website/learnpythonthehardway.org/python3/ex28.html	(from https://learnpythonthehardway.org/python3/)
14:10:05	20912/20912	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex29.html	./website/learnpythonthehardway.org/python3/ex29.html	(from https://learnpythonthehardway.org/python3/)
14:10:06	22518/22518	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex30.html	./website/learnpythonthehardway.org/python3/ex30.html	(from https://learnpythonthehardway.org/python3/)
14:10:07	25101/25101	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex31.html	./website/learnpythonthehardway.org/python3/ex31.html	(from https://learnpythonthehardway.org/python3/)
14:10:08	28536/28536	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex32.html	./website/learnpythonthehardway.org/python3/ex32.html	(from https://learnpythonthehardway.org/python3/)
14:10:09	24753/24753	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex33.html	./website/learnpythonthehardway.org/python3/ex33.html	(from https://learnpythonthehardway.org/python3/)
14:10:10	20597/20597	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex34.html	./website/learnpythonthehardway.org/python3/ex34.html	(from https://learnpythonthehardway.org/python3/)
14:10:11	30647/30647	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex35.html	./website/learnpythonthehardway.org/python3/ex35.html	(from https://learnpythonthehardway.org/python3/)
14:10:12	19718/19718	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex36.html	./website/learnpythonthehardway.org/python3/ex36.html	(from https://learnpythonthehardway.org/python3/)
14:10:13	35295/35295	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex37.html	./website/learnpythonthehardway.org/python3/ex37.html	(from https://learnpythonthehardway.org/python3/)
14:10:14	32395/32395	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex38.html	./website/learnpythonthehardway.org/python3/ex38.html	(from https://learnpythonthehardway.org/python3/)
14:10:15	40595/40595	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex39.html	./website/learnpythonthehardway.org/python3/ex39.html	(from https://learnpythonthehardway.org/python3/)
14:10:16	35446/35446	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex40.html	./website/learnpythonthehardway.org/python3/ex40.html	(from https://learnpythonthehardway.org/python3/)
14:10:17	36968/36968	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex41.html	./website/learnpythonthehardway.org/python3/ex41.html	(from https://learnpythonthehardway.org/python3/)
14:10:18	31534/31534	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex42.html	./website/learnpythonthehardway.org/python3/ex42.html	(from https://learnpythonthehardway.org/python3/)
14:10:19	78783/78783	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex43.html	./website/learnpythonthehardway.org/python3/ex43.html	(from https://learnpythonthehardway.org/python3/)
14:10:20	50677/50677	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex44.html	./website/learnpythonthehardway.org/python3/ex44.html	(from https://learnpythonthehardway.org/python3/)
14:10:21	24008/24008	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex45.html	./website/learnpythonthehardway.org/python3/ex45.html	(from https://learnpythonthehardway.org/python3/)
14:10:22	36657/36657	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex46.html	./website/learnpythonthehardway.org/python3/ex46.html	(from https://learnpythonthehardway.org/python3/)
14:10:23	33155/33155	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex47.html	./website/learnpythonthehardway.org/python3/ex47.html	(from https://learnpythonthehardway.org/python3/)
14:10:24	41185/41185	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex48.html	./website/learnpythonthehardway.org/python3/ex48.html	(from https://learnpythonthehardway.org/python3/)
14:10:25	43126/43126	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex49.html	./website/learnpythonthehardway.org/python3/ex49.html	(from https://learnpythonthehardway.org/python3/)
14:10:26	37680/37680	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex50.html	./website/learnpythonthehardway.org/python3/ex50.html	(from https://learnpythonthehardway.org/python3/)
14:10:27	58079/58079	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex51.html	./website/learnpythonthehardway.org/python3/ex51.html	(from https://learnpythonthehardway.org/python3/)
14:10:28	71672/71672	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/ex52.html	./website/learnpythonthehardway.org/python3/ex52.html	(from https://learnpythonthehardway.org/python3/)
14:10:29	18092/18092	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/advice.html	./website/learnpythonthehardway.org/python3/advice.html	(from https://learnpythonthehardway.org/python3/)
14:10:30	20934/20934	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/next.html	./website/learnpythonthehardway.org/python3/next.html	(from https://learnpythonthehardway.org/python3/)
14:10:31	16690/16690	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2014:09:23%20GMT	https://learnpythonthehardway.org/python3/appendixa.html	./website/learnpythonthehardway.org/python3/appendixa.html	(from https://learnpythonthehardway.org/python3/)
14:10:34	184/184	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Apr%202017%2018:10:32%20GMT	http://learnpythonthehardway.org/	./website/learnpythonthehardway.org/index.html	(from https://learnpythonthehardway.org/python3/)
14:10:34	184/184	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Apr%202017%2018:10:32%20GMT	http://learnpythonthehardway.org/book/	./website/learnpythonthehardway.org/book/index.html	(from https://learnpythonthehardway.org/python3/)
14:10:34	289169/289169	---M--	200	added ('OK')	application/javascript	etag:%2258a75344-46991%22	https://learnpythonthehardway.org/js/scripts.min.js	./website/learnpythonthehardway.org/js/scripts.min.js	(from https://learnpythonthehardway.org/python3/)
14:10:34	84587/84587	---M--	200	added ('OK')	application/javascript	etag:%2258fb6413-14a6b%22	https://learnpythonthehardway.org/python3/javascripts/jquery.js	./website/learnpythonthehardway.org/python3/javascripts/jquery.js	(from https://learnpythonthehardway.org/python3/)
14:10:36	1862/1862	---M--	200	added ('OK')	application/javascript	etag:%2258fb6413-746%22	https://learnpythonthehardway.org/python3/index.js	./website/learnpythonthehardway.org/python3/index.js	(from https://learnpythonthehardway.org/python3/)
14:10:38	5336/5336	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2016%20Feb%202014%2001:10:34%20GMT	https://shop.learncodethehardway.org/static/jzed.js	./website/shop.learncodethehardway.org/static/jzed.js	(from https://learnpythonthehardway.org/python3/)
14:10:39	55392/55392	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2005%20Nov%202013%2000:28:45%20GMT	https://shop.learncodethehardway.org/static/js/videojs/video.js	./website/shop.learncodethehardway.org/static/js/videojs/video.js	(from https://learnpythonthehardway.org/python3/)
14:10:40	21318/21318	---MCZ	200	added ('OK')	text/css	date:Tue,%2005%20Nov%202013%2000:28:45%20GMT	https://shop.learncodethehardway.org/static/js/videojs/video-js.css	./website/shop.learncodethehardway.org/static/js/videojs/video-js.css	(from https://learnpythonthehardway.org/python3/)
14:10:41	8275/8275	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2020%20Jan%202017%2003:31:24%20GMT	https://shop.learncodethehardway.org/static/api/v1/paydiv.js	./website/shop.learncodethehardway.org/static/api/v1/paydiv.js	(from https://learnpythonthehardway.org/python3/)
14:10:41	509/509	---M--	200	added ('OK')	application/javascript	etag:%2258fb6413-1fd%22	https://learnpythonthehardway.org/python3/javascripts/app.js	./website/learnpythonthehardway.org/python3/javascripts/app.js	(from https://learnpythonthehardway.org/python3/)
14:10:42	137/137	---M--	200	added ('OK')	application/javascript	etag:%2258fb6413-89%22	https://learnpythonthehardway.org/python3/javascripts/littools.js	./website/learnpythonthehardway.org/python3/javascripts/littools.js	(from https://learnpythonthehardway.org/python3/)
14:10:45	171227/171227	---M--	200	added ('OK')	image/png	etag:%2258fb6413-29cdb%22	https://learnpythonthehardway.org/python3/_static/python/osx_atom.png	./website/learnpythonthehardway.org/python3/_static/python/osx_atom.png	(from https://learnpythonthehardway.org/python3/ex1.html)
14:10:45	1789123/1789123	---M-Z	200	added ('OK')	application/javascript	etag:W/%2258f9b4d0-1b4cc3%22	https://assets.zendesk.com/embeddable_framework/main.js	./website/assets.zendesk.com/embeddable_framework/main.js	(from https://learnpythonthehardway.org/python3/)
14:10:45	107784/107784	---M--	200	added ('OK')	image/png	etag:%2258fb6413-1a508%22	https://learnpythonthehardway.org/python3/_static/python/osx_terminal_ex1.png	./website/learnpythonthehardway.org/python3/_static/python/osx_terminal_ex1.png	(from https://learnpythonthehardway.org/python3/ex1.html)
14:10:46	27546/27546	---M--	200	added ('OK')	image/png	etag:%2258fb6413-6b9a%22	https://learnpythonthehardway.org/python3/_static/python/win_powershell_ex1.png	./website/learnpythonthehardway.org/python3/_static/python/win_powershell_ex1.png	(from https://learnpythonthehardway.org/python3/ex1.html)
14:10:47	89749/89749	---M--	200	added ('OK')	image/png	etag:%2258fb6413-15e95%22	https://learnpythonthehardway.org/python3/_static/python/ex23a.png	./website/learnpythonthehardway.org/python3/_static/python/ex23a.png	(from https://learnpythonthehardway.org/python3/ex23.html)
14:10:48	112662/112662	---M--	200	added ('OK')	image/png	etag:%2258fb6413-1b816%22	https://learnpythonthehardway.org/python3/_static/python/ex23b.png	./website/learnpythonthehardway.org/python3/_static/python/ex23b.png	(from https://learnpythonthehardway.org/python3/ex23.html)
14:10:50	211583/211583	---M--	200	added ('OK')	image/png	etag:%2258fb6413-33a7f%22	https://learnpythonthehardway.org/python3/_static/python/ex23c.png	./website/learnpythonthehardway.org/python3/_static/python/ex23c.png	(from https://learnpythonthehardway.org/python3/ex23.html)
14:10:50	8035/8035	---M--	200	added ('OK')	image/png	etag:%2258fb6413-1f63%22	https://learnpythonthehardway.org/python3/_static/python/http_flow_graphic.png	./website/learnpythonthehardway.org/python3/_static/python/http_flow_graphic.png	(from https://learnpythonthehardway.org/python3/ex51.html)
